enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last,optimizer_success,optimizer_fun,optimizer_nfev,optimizer_nit,optimizer_message,param_C_valid,param_ka_valid,param_kb_valid,param_tau_valid
2021_13,slope8,1930,0,160,-0.001427855,-5.710489544,-0.001331507,-0.00117081,51.99998914,0.192803578,,,-5.756652254,-0.001548785,0.0001,52,0,159,79.5,-6.20066095,-5.122108465,-5.780646802,0.005963436,0.004819037,0.002854784,0.002711866,0,1,158,159,2021-13,2024-16,TRUE,12.19379548,505,20,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1930,1,120,0.001205493,-6.153708765,,,,0.176826224,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-6.766443588,-5.716444118,-6.166505984,0.00181807,0.00185231,0.001942595,0.001707637,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1930,1,160,0.001205493,-5.784534679,-0.293430358,0.001829482,1.935336349,0.182946119,,,-5.972251819,-0.038070854,0.001,53,0,159,79.5,-6.766443588,-5.716444118,-6.201667282,0.002861887,0.002754981,0.001942595,0.001707637,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1930,1,160,0.001205493,-6.360848408,0.003068659,-0.00547436,385.2568307,0.189834372,,,-5.972251819,-0.038070854,0.001,53,0,159,79.5,-6.766443588,-5.716444118,-6.201667282,0.002861887,0.002754981,0.001942595,0.001707637,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1930,1,160,0.001205493,-6.349750309,0.001858023,0.001858029,51.99997374,0.191311979,,,-6.35619446,0.002168873,0.00321489,52,0,159,79.5,-6.766443588,-5.716444118,-6.201667282,0.002861887,0.002754981,0.001942595,0.001707637,0,1,158,159,2021-13,2024-16,TRUE,12.03231605,220,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1930,2,120,0.001508026,-6.178731302,,,,0.116977986,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-6.526314585,-5.771540265,-6.17092237,0.001719302,0.001805505,0.002223856,0.002267663,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1930,2,160,0.001508026,-6.500973072,0.003171064,0.003171065,0.097206196,0.145331632,,,-6.835927052,-0.169353834,0.188990149,53,0,159,79.5,-6.915730453,-5.771540265,-6.248873354,0.00117513,0.000992057,0.002223856,0.002267663,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1930,2,160,0.001508026,-6.863716204,0.031967279,0.000941629,19.95529246,0.11342949,,,-6.835927052,-0.169353834,0.188990149,53,0,159,79.5,-6.915730453,-5.771540265,-6.248873354,0.00117513,0.000992057,0.002223856,0.002267663,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1930,2,145,0.001508026,-6.36923387,0.001825379,0.001825379,47.99992839,0.128302191,,,-6.53094157,0.002206683,0.0001,48,0,159,79.5,-6.915730453,-5.771540265,-6.248873354,0.00117513,0.000992057,0.002223856,0.002267663,0,1,158,159,2021-13,2024-16,TRUE,7.002649203,375,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1940,0,120,-0.000723116,-7.074849162,,,,0.124266702,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-7.286043219,-6.739040609,-7.068523477,0.001044864,0.001065347,0.000826959,0.000704348,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1940,0,160,-0.000723116,-6.163345438,-0.28127829,-0.000623543,2.987491044,0.151379732,,,-6.389285167,-0.157583851,0.087559816,53,0,159,79.5,-7.286043219,-6.2281389,-7.032949149,0.001973121,0.00168545,0.000826959,0.000704348,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1940,0,160,-0.000723116,-6.163415311,-0.281179658,-0.000623438,2.988331564,0.151379732,,,-6.389285167,-0.157583851,0.087559816,53,0,159,79.5,-7.286043219,-6.2281389,-7.032949149,0.001973121,0.00168545,0.000826959,0.000704348,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1940,0,160,-0.000723116,-6.985601165,-0.002224091,-6.03E-05,52.00039717,0.17907147,,,-6.923138192,-5.57E-05,0.003720969,52,0,159,79.5,-7.286043219,-6.2281389,-7.032949149,0.001973121,0.00168545,0.000826959,0.000704348,0,1,158,159,2021-13,2024-16,TRUE,10.48315045,270,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1940,1,120,0.001773045,-7.438768788,,,,0.137004063,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-7.812938706,-7.025405761,-7.428601794,0.000523684,0.000561405,0.000517601,0.000553604,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1940,1,160,0.001773045,-7.613388166,-1.136126131,0.003269195,0.134392072,0.161479224,,,-7.753236749,-0.21042294,0.129295866,53,0,159,79.5,-8.155444165,-7.025405761,-7.505655315,0.000493944,0.000400214,0.000517601,0.000553604,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1940,1,160,0.001773045,-7.977289182,0.015156989,1.16E-05,41.97813191,0.146076107,,,-7.753236749,-0.21042294,0.129295866,53,0,159,79.5,-8.155444165,-7.025405761,-7.505655315,0.000493944,0.000400214,0.000517601,0.000553604,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1940,1,160,0.001773045,-7.741378486,0.003090479,0.003090479,51.99993318,0.162363786,,,-7.94599862,0.003233508,0.0001,52,0,159,79.5,-8.155444165,-7.025405761,-7.505655315,0.000493944,0.000400214,0.000517601,0.000553604,0,1,158,159,2021-13,2024-16,TRUE,10.20246435,400,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1940,2,120,0.000584847,-6.79058142,,,,0.16556614,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-7.272059976,-6.276010732,-6.790984184,0.00114883,0.000825898,0.001036365,0.001222924,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1940,2,160,0.000584847,-6.931031115,0.001399193,0.001399193,2710.222704,0.181121041,,,-7.0740243,-0.291564675,0.256181101,53,0,159,79.5,-7.540043412,-6.276010732,-6.819795274,0.001102502,0.000823672,0.001036365,0.001222924,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1940,2,160,0.000584847,-7.182876043,0.02687723,0.00038926,13.76719815,0.172895965,,,-7.0740243,-0.291564675,0.256181101,53,0,159,79.5,-7.540043412,-6.276010732,-6.819795274,0.001102502,0.000823672,0.001036365,0.001222924,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1940,2,145,0.000584847,-6.829039459,-2.66E-05,0.000662969,47.9997514,0.169196916,,,-6.877476046,0.002206094,0.00298273,48,0,159,79.5,-7.540043412,-6.276010732,-6.819795274,0.001102502,0.000823672,0.001036365,0.001222924,0,1,158,159,2021-13,2024-16,FALSE,9.779172019,470,12,ABNORMAL: ,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1950,0,120,-0.000463176,-8.072003393,,,,0.107444338,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-8.333140981,-7.840075582,-8.080676971,0.000388649,0.000383736,0.000287685,0.000256252,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1950,0,160,-0.000463176,-7.381071207,-0.247612885,-0.000190895,2.742116314,0.135420347,,,-7.573150374,-0.116199965,0.026679107,53,0,159,79.5,-8.333140981,-7.436955763,-8.060830835,0.000589076,0.000524452,0.000287685,0.000256252,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1950,0,160,-0.000463176,-7.381040842,-0.247658282,-0.000190933,2.74171935,0.135420347,,,-7.573150374,-0.116199965,0.026679107,53,0,159,79.5,-8.333140981,-7.436955763,-8.060830835,0.000589076,0.000524452,0.000287685,0.000256252,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1950,0,160,-0.000463176,-8.036735559,-0.000439554,-0.000295999,52.00003309,0.153079085,,,-8.023135849,0.001055249,0.001350778,52,0,159,79.5,-8.333140981,-7.436955763,-8.060830835,0.000589076,0.000524452,0.000287685,0.000256252,0,1,158,159,2021-13,2024-16,TRUE,9.190478943,260,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1950,1,120,0.000295248,-8.166796108,,,,0.278418237,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-9.192196767,-7.615134022,-8.159033764,0.000199247,0.000358773,0.000206356,0.000350928,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1950,1,160,0.000295248,-8.253752251,0.001000495,0.001000495,9.520989746,0.285993503,,,-8.323337102,0.530963223,0.001,53,0,159,79.5,-9.192196767,-7.60487454,-8.174212901,0.000197006,0.000335022,0.000206356,0.000350928,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm_invalid_params,1950,1,160,0.000295248,-8.288124586,0.002305727,5.661870662,-344765.1427,,invalid parameters from LM slope7 fit,,-8.323337102,0.530963223,0.001,53,0,159,79.5,-9.192196767,-7.60487454,-8.174212901,0.000197006,0.000335022,0.000206356,0.000350928,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1950,1,160,0.000295248,-8.260900408,0.001289618,0.001289618,51.99997975,0.286742782,,,-8.382008039,0.001000495,0.0001,52,0,159,79.5,-9.192196767,-7.60487454,-8.174212901,0.000197006,0.000335022,0.000206356,0.000350928,0,1,158,159,2021-13,2024-16,FALSE,17.92774656,260,7,ABNORMAL: ,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1950,2,120,0.000393904,-7.843659775,,,,0.311637131,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-8.765900518,-7.297638034,-7.901118449,0.000434671,0.000230173,0.000294362,0.000481915,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1950,2,160,0.000393904,-7.89723329,8.11E-05,8.11E-05,54.40167183,0.301452048,,,-8.063188385,0.336824478,0.001,53,0,159,79.5,-8.765900518,-7.079847872,-7.890787035,0.000251553,0.000352299,0.000294362,0.000481915,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm_invalid_params,1950,2,160,0.000393904,-7.912530335,0.000661958,2.455281407,-335994.2058,,invalid parameters from LM slope7 fit,,-8.063188385,0.336824478,0.001,53,0,159,79.5,-8.765900518,-7.079847872,-7.890787035,0.000251553,0.000352299,0.000294362,0.000481915,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1950,2,145,0.000393904,-7.799700843,-0.002179795,0.000756242,47.99991116,0.309975031,,,-7.81271617,-0.00046158,0.004621771,48,0,159,79.5,-8.765900518,-7.079847872,-7.890787035,0.000251553,0.000352299,0.000294362,0.000481915,0,1,158,159,2021-13,2024-16,TRUE,17.72296818,235,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1960,0,120,0.000330614,-9.022549122,,,,0.105018179,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-9.269180814,-8.711178836,-9.029254066,0.000142219,0.000136624,9.68E-05,0.000139524,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1960,0,160,0.000330614,-8.474879353,-0.222804628,0.000232629,2.560723013,0.126414036,,,-8.614165764,-0.104135031,0.189328697,53,0,159,79.5,-9.270900693,-8.530536784,-9.016480539,0.000197349,0.000177832,9.68E-05,0.000139524,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1960,0,160,0.000330614,-8.953348586,-0.002059371,0.607124157,25557.3624,0.136979397,,,-8.614165764,-0.104135031,0.189328697,53,0,159,79.5,-9.270900693,-8.530536784,-9.016480539,0.000197349,0.000177832,9.68E-05,0.000139524,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1960,0,160,0.000330614,-9.026031679,-0.001045436,0.000848209,52.00006607,0.139952103,,,-9.011926168,0.001339855,0.001528969,52,0,159,79.5,-9.270900693,-8.530536784,-9.016480539,0.000197349,0.000177832,9.68E-05,0.000139524,0,1,158,159,2021-13,2024-16,TRUE,8.591177685,675,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1960,1,117,6.61E-05,-9.442033099,,,,0.580163524,linear_fit_t_mean=79.500000,,,,,,40,159,99.69230769,-10.83226006,-8.62845625,-9.611934553,7.90E-05,0.000177736,3.98E-05,9.96E-05,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1960,1,157,6.61E-05,-9.449449011,-1.388992404,-0.000576364,0.082956164,0.552889022,,,-9.470876672,-0.28762302,0.54310555,52,0,156,78,-10.83531693,-8.62845625,-9.608849413,7.87E-05,5.91E-05,3.98E-05,9.96E-05,0,1,155,156,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1960,1,157,6.61E-05,-9.861332484,0.019245467,-0.003526761,28.36066617,0.546152537,,,-9.470876672,-0.28762302,0.54310555,52,0,156,78,-10.83531693,-8.62845625,-9.608849413,7.87E-05,5.91E-05,3.98E-05,9.96E-05,0,1,155,156,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1960,1,157,6.61E-05,-9.449562797,7.74E-05,7.74E-05,51.99944316,0.578008708,,,-9.893002583,-0.000598078,0.0001,52,0,159,79.2611465,-10.83531693,-8.62845625,-9.608849413,7.87E-05,5.91E-05,3.98E-05,9.96E-05,0,1,158,159,2021-13,2024-16,TRUE,33.24804753,450,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1960,2,120,9.05E-05,-9.338014845,,,,0.466277314,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-10.95245431,-8.545250422,-9.424139009,0.000105075,0.000122603,8.85E-05,0.000123885,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1960,2,160,9.05E-05,-9.316468832,-0.357496148,0.001750945,0.822243781,0.492073402,,,-9.51646844,8.73E-05,0.168255,53,0,159,79.5,-10.9554449,-8.545250422,-9.470034291,8.73E-05,8.73E-05,8.85E-05,0.000123885,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1960,2,160,9.05E-05,-9.726297598,0.007317049,-0.002993537,91.03531507,0.490292051,,,-9.51646844,8.73E-05,0.168255,53,0,159,79.5,-10.9554449,-8.545250422,-9.470034291,8.73E-05,8.73E-05,8.85E-05,0.000123885,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1960,2,145,9.05E-05,-9.346911845,8.89E-05,9.00E-05,47.99819484,0.479414587,,,-9.57250356,0.001035418,0.006278571,48,0,159,79.5,-10.9554449,-8.545250422,-9.470034291,8.73E-05,8.73E-05,8.85E-05,0.000123885,0,1,158,159,2021-13,2024-16,TRUE,25.64350029,375,22,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1970,0,120,4.29E-05,-10.05795824,,,,0.124834304,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-10.48501142,-9.7471798,-10.06482546,3.80E-05,5.02E-05,2.80E-05,3.95E-05,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1970,0,160,4.29E-05,-9.591282911,-0.343476057,0.000286788,1.452507956,0.136560729,,,-9.788230672,-0.235668838,0.210487158,53,0,159,79.5,-10.48501142,-9.600207122,-10.0615307,6.77E-05,5.35E-05,2.80E-05,3.95E-05,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm_invalid_params,1970,0,160,4.29E-05,-10.07286565,0.000188088,0.000188088,-2.112931881,,invalid parameters from LM slope7 fit,,-9.788230672,-0.235668838,0.210487158,53,0,159,79.5,-10.48501142,-9.600207122,-10.0615307,6.77E-05,5.35E-05,2.80E-05,3.95E-05,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1970,0,160,4.29E-05,-10.0622143,4.25E-05,4.30E-05,51.99999905,0.143484795,,,-10.09499662,5.61E-05,0.0001,52,0,159,79.5,-10.48501142,-9.600207122,-10.0615307,6.77E-05,5.35E-05,2.80E-05,3.95E-05,0,1,158,159,2021-13,2024-16,TRUE,9.011690478,445,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1970,1,93,3.57E-05,-10.11497063,,,,0.531259794,linear_fit_t_mean=79.500000,,,,,,40,159,100.7741935,-10.81027325,-8.86076263,-10.12005238,6.06E-05,2.02E-05,2.03E-05,2.03E-05,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1970,1,121,3.57E-05,-10.16018738,0.000151644,0.000151707,0.674488297,0.522455156,,,-10.58035425,-0.693127013,0.693147289,40,0,120,60,-10.81140331,-8.86076263,-10.15107636,4.03E-05,2.02E-05,2.03E-05,2.03E-05,0,1,119,120,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1970,1,121,3.57E-05,-10.37125623,0.010799205,-4.793475159,27036.36565,0.513422719,,,-10.58035425,-0.693127013,0.693147289,40,0,120,60,-10.81140331,-8.86076263,-10.15107636,4.03E-05,2.02E-05,2.03E-05,2.03E-05,0,1,119,120,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1970,1,121,3.57E-05,-10.1183362,2.68E-05,3.83E-05,51.99998384,0.523670621,,,-10.29806992,0.000179995,0.0001,52,0,159,81.96694215,-10.81140331,-8.86076263,-10.15107636,4.03E-05,2.02E-05,2.03E-05,2.03E-05,0,1,158,159,2021-13,2024-16,TRUE,24.19975855,380,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1970,2,106,3.09E-05,-10.37438809,,,,0.477511884,linear_fit_t_mean=79.500000,,,,,,40,159,100.1320755,-11.06924434,-9.274910142,-10.36015684,4.68E-05,1.56E-05,1.56E-05,6.26E-05,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1970,2,135,3.09E-05,-10.43216674,-0.002240079,0.625349731,9384.459227,0.465272433,,,-10.60807565,-0.693131611,1.039744304,44.66666667,0,134,67,-11.07017896,-9.274910142,-10.38208708,3.11E-05,1.56E-05,1.56E-05,6.26E-05,0,1,133,134,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1970,2,135,3.09E-05,-10.43217956,-0.002238923,0.677080397,10163.5106,0.46527241,,,-10.60807565,-0.693131611,1.039744304,44.66666667,0,134,67,-11.07017896,-9.274910142,-10.38208708,3.11E-05,1.56E-05,1.56E-05,6.26E-05,0,1,133,134,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1970,2,125,3.09E-05,-10.37680845,8.25E-06,3.53E-05,47.99961231,0.4776694,,,-10.42077049,-0.00223828,0.006104381,48,0,159,82.97037037,-11.07017896,-9.274910142,-10.38208708,3.11E-05,1.56E-05,1.56E-05,6.26E-05,0,2,158,159,2021-13,2024-16,TRUE,22.42216871,450,50,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1980,0,120,0.0007979,-10.93713536,,,,0.235146867,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-11.57235172,-10.47326503,-10.93952362,2.28E-05,1.49E-05,1.42E-05,2.05E-05,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1980,0,160,0.0007979,-10.98853051,0.000536123,0.000536126,0.436235682,0.239322417,,,-10.98912772,0.274456454,0.001,53,0,159,79.5,-11.57340419,-10.47326503,-10.94591244,1.49E-05,1.96E-05,1.42E-05,2.05E-05,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1980,0,160,0.0007979,-11.09143624,0.010601327,0.000100752,14.44572869,0.238260916,,,-10.98912772,0.274456454,0.001,53,0,159,79.5,-11.57340419,-10.47326503,-10.94591244,1.49E-05,1.96E-05,1.42E-05,2.05E-05,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1980,0,160,0.0007979,-10.98662221,0.000552078,0.000552078,51.9999978,0.239344656,,,-11.03359947,0.000536317,0.0001,52,0,159,79.5,-11.57340419,-10.47326503,-10.94591244,1.49E-05,1.96E-05,1.42E-05,2.05E-05,0,1,158,159,2021-13,2024-16,TRUE,15.43416131,335,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1980,1,46,2.01E-05,-10.1916442,,,,0.43371831,linear_fit_t_mean=79.500000,,,,,,40,159,95.73913043,-10.19275587,-8.804325111,-9.978162336,3.74E-05,3.74E-05,7.50E-05,3.75E-05,40,41,154,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1980,1,62,2.01E-05,-10.09678264,0.003536167,0.003536167,1474.98572,0.354289275,,,-10.19346698,3.74E-05,0.001,20.33333333,0,61,30.5,-10.1935044,-8.804325111,-9.9889296,3.74E-05,3.74E-05,7.50E-05,3.75E-05,0,1,60,61,2021-15,2024-16,,,,,,,,,
2021_13,slope7_lm_invalid_params,1980,1,62,2.01E-05,-10.1024842,0.004105504,0.084362602,-4317.821327,,invalid parameters from LM slope7 fit,,-10.19346698,3.74E-05,0.001,20.33333333,0,61,30.5,-10.1935044,-8.804325111,-9.9889296,3.74E-05,3.74E-05,7.50E-05,3.75E-05,0,1,60,61,2021-15,2024-16,,,,,,,,,
